report_id,reported_at,resolved_at,issue_type,severity,lat,lon,street_name,channel,estimated_impact_cost,district_hint,resolution_days,is_unresolved,report_month,report_week,severity_band,district
MR208703,2024-01-01 00:56:02,2024-01-11 11:56:28,unsafe crossing,3.0,37.72340460011964,-122.388196799881,Maple Dr,web,1201.98,D02,10.0,False,2024-01,2024-01-01/2024-01-07,medium,Bayview
MR221834,2024-01-01 02:59:00,2024-01-04 13:54:47,broken traffic light,4.0,37.71898668442171,-122.388946576012,Pine Ave,phone,2115.81,D04,3.0,False,2024-01,2024-01-01/2024-01-07,high,Bayview
MR214926,2024-01-01 03:40:00,,missing sign,3.0,37.719302282507925,-122.383885038932,Hillcrest Ave,phone,276.74,D04,807.0,True,2024-01,2024-01-01/2024-01-07,medium,Bayview
MR203237,2024-01-01 04:23:00,,unsafe crossing,4.0,37.743,-122.4699,Grant St,phone,938.34,D08,807.0,True,2024-01,2024-01-01/2024-01-07,high,Central Exchange
MR218152,2024-01-01 04:47:00,,broken traffic light,5.0,37.7877,-122.48456,Market St,web,,D06,807.0,True,2024-01,2024-01-01/2024-01-07,high,Central Exchange
MR216500,2024-01-01 07:15:58,2024-01-03 21:24:38,pothole near crossing,4.0,37.69238,-122.3621,Hillcrest Ave,web,623.5,D04,2.0,False,2024-01,2024-01-01/2024-01-07,high,Bayview
MR200509,2024-01-01 07:59:07,2024-01-10 05:48:55,sidewalk obstruction,3.0,37.8207,-122.383,Transit Way,app,213.76,D12,8.0,False,2024-01,2024-01-01/2024-01-07,medium,Airport Link
MR207310,2024-01-01 08:48:09,2024-01-13 08:13:00,pothole near crossing,3.0,37.706,-122.54065,Hillcrest Ave,web,610.95,D01,11.0,False,2024-01,2024-01-01/2024-01-07,medium,Harbor North
MR215489,2024-01-01 09:22:42,2024-01-14 03:50:58,blocked lane,4.0,37.805789,-122.504,Transit Way,,1433.59,D10,12.0,False,2024-01,2024-01-01/2024-01-07,high,West Junction
MR202959,2024-01-01 12:25:22,,blockd lane,3.0,37.7036270821147,-122.348964442743,Broadway,App,,D04,806.0,True,2024-01,2024-01-01/2024-01-07,medium,Bayview
MR215292,2024-01-01 16:04:34,,blocked lane,4.0,37.74530403849471,-122.36377067967,Market St,app,1846.61,D08,806.0,True,2024-01,2024-01-01/2024-01-07,high,Riverside
MR207458,2024-01-01 16:05:28,,blocked lane,5.0,37.82470747455621,-122.372149559177,Grant St,mobile app,2210.66,D02,806.0,True,2024-01,2024-01-01/2024-01-07,high,Airport Link
MR210863,2024-01-01 18:22:18,2024-01-07 23:18:59,damaged bus stop,5.0,37.835615870972006,-122.361723348675,Transit Way,app,2772.29,D12,6.0,False,2024-01,2024-01-01/2024-01-07,high,Airport Link
MR215144,2024-01-01 21:02:11,2024-01-15 18:53:17,bus stop damage,3.0,37.778592059282346,-122.37808109288,Transit Way,app,942.83,D08,13.0,False,2024-01,2024-01-01/2024-01-07,medium,Riverside
MR219509,2024-01-01 22:02:01,2024-01-02 23:22:17,sidewalk obstruction,3.0,37.743425,-122.533,,web,238.3,D05,1.0,False,2024-01,2024-01-01/2024-01-07,medium,University
MR218015,2024-01-02 00:00:00,2024-01-04 10:13:23,missing sign,3.0,37.77178909844566,-122.437431632044,Elm St,phone,153.24,D07,2.0,False,2024-01,2024-01-01/2024-01-07,medium,Midtown
MR202850,2024-01-02 00:52:55,2024-01-17 12:43:30,blocked lane,5.0,37.82569637599549,-122.367245771976,Transit Way,phone,,D12,15.0,False,2024-01,2024-01-01/2024-01-07,high,Airport Link
MR212977,2024-01-02 02:18:00,,sidewalk obstruction,4.0,37.708038345323686,-122.41737842781,Harbor Ave,app,,D03,806.0,True,2024-01,2024-01-01/2024-01-07,high,Civic East
MR216905,2024-01-02 03:22:28,2024-01-31 14:29:58,bus stop damage,3.0,37.79912380356855,-122.547549010947,Elm St,app,943.91,D09,29.0,False,2024-01,2024-01-01/2024-01-07,medium,West Junction
MR203061,2024-01-02 03:43:26,2024-01-06 22:38:47,pothole near crossing,2.0,37.80606820807554,-122.498554325525,Broadway,phone,472.86,D11,4.0,False,2024-01,2024-01-01/2024-01-07,low,North Commons
MR205868,2024-01-02 04:01:42,2024-01-18 02:45:16,bus stop damage,3.0,37.71384804906937,-122.366876953419,,phone,512.5,D04,15.0,False,2024-01,2024-01-01/2024-01-07,medium,Bayview
MR219194,2024-01-02 04:02:00,2024-01-03 12:04:36,sidewalk obstruction,1.0,37.83226153835031,-122.381823073029,Pine Ave,email,497.7,D12,1.0,False,2024-01,2024-01-01/2024-01-07,low,Airport Link
MR205801,2024-01-02 05:47:05,2024-01-12 18:09:51,unsafe crossing,4.0,37.82019808357717,-122.483440876257,Pine Ave,web,,D10,10.0,False,2024-01,2024-01-01/2024-01-07,high,North Commons
MR204917,2024-01-02 06:33:00,,broken traffic light,5.0,37.76877751458787,-122.460927758404,Hillcrest Ave,app,3233.29,D06,806.0,True,2024-01,2024-01-01/2024-01-07,high,Central Exchange
MR212503,2024-01-02 07:22:33,2024-01-18 17:48:00,unsafe crossing,1.0,37.763,-122.48292,,web,551.85,D06,16.0,False,2024-01,2024-01-01/2024-01-07,low,Central Exchange
MR202469,2024-01-02 07:40:29,2024-01-12 06:36:39,unsafe crossing,5.0,37.712976818920176,-122.472966131783,Broadway,app,1270.82,D02,9.0,False,2024-01,2024-01-01/2024-01-07,high,Old Market
MR207940,2024-01-02 08:59:43,,missing sign,2.0,37.81249375339126,-122.404024532275,,phone,248.72,D11,806.0,True,2024-01,2024-01-01/2024-01-07,low,Medical Quarter
MR209583,2024-01-02 09:21:59,2024-01-04 01:49:04,missing sign,3.0,37.81962738484197,-122.4762396636,Grant St,web,679.05,D10,1.0,False,2024-01,2024-01-01/2024-01-07,medium,North Commons
MR202378,2024-01-02 12:13:38,2024-01-11 18:50:52,missing sign,2.0,37.76774076724516,-122.501611487982,Union Blvd,web,312.57,D06,9.0,False,2024-01,2024-01-01/2024-01-07,low,University
MR206168,2024-01-02 12:52:22,2024-01-06 16:32:33,missing sign,3.0,37.74077737297112,-122.399929150182,Union Blvd,app,243.87,D08,4.0,False,2024-01,2024-01-01/2024-01-07,medium,Midtown
MR202579,2024-01-02 12:56:19,2024-01-05 10:35:00,blocked lane,3.0,37.81796826709616,-122.365733973947,Broadway,phone,1186.19,D12,2.0,False,2024-01,2024-01-01/2024-01-07,medium,Airport Link
MR202547,2024-01-02 14:44:59,2024-01-10 13:16:00,pothole near crossing,3.0,37.79400282805345,-122.355379251782,Maple Dr,phone,606.91,D12,7.0,False,2024-01,2024-01-01/2024-01-07,medium,Airport Link
MR200421,2024-01-02 17:15:59,2024-01-04 03:14:54,missng sign,5.0,37.794,-122.437,,phone,238.65,D11,1.0,False,2024-01,2024-01-01/2024-01-07,high,Medical Quarter
MR209357,2024-01-02 17:27:34,2024-01-05 00:29:49,unsafe crossing,5.0,37.70064742445621,-122.353511901831,Maple Dr,app,788.98,,2.0,False,2024-01,2024-01-01/2024-01-07,high,Bayview
MR221422,2024-01-02 18:35:42,2024-01-07 12:58:49,missing sign,4.0,37.70584939727806,-122.376774457501,Pine Ave,,388.25,,4.0,False,2024-01,2024-01-01/2024-01-07,high,Bayview
MR214708,2024-01-02 18:56:56,,pot hole near crossing,4.0,37.80283333820942,-122.52251477133,River Rd,phone,407.81,D09,805.0,True,2024-01,2024-01-01/2024-01-07,high,West Junction
MR216255,2024-01-02 19:01:55,2024-01-18 04:23:17,sidewalk obstruction,3.0,37.77783492718548,-122.535851883862,River Rd,phone,377.14,D05,15.0,False,2024-01,2024-01-01/2024-01-07,medium,University
MR216972,2024-01-02 19:38:07,2024-01-08 10:50:21,blocked lane,1.0,37.80338518904865,-122.361023987107,Cedar Rd,web,927.77,D12,5.0,False,2024-01,2024-01-01/2024-01-07,low,Airport Link
MR209494,2024-01-02 23:51:16,,broken traffic light,4.0,37.76632321011447,-122.37646223397,Maple Dr,phone,2343.1,,805.0,True,2024-01,2024-01-01/2024-01-07,high,Riverside
MR221315,2024-01-02 23:52:00,,blocked lane,5.0,37.74147807940231,-122.481724441462,Transit Way,app,1649.84,D06,805.0,True,2024-01,2024-01-01/2024-01-07,high,Central Exchange
MR210942,2024-01-03 00:08:35,2024-01-13 09:30:06,blocked lane,4.0,37.74677,-122.489005,Union Blvd,web,1032.02,D06,10.0,False,2024-01,2024-01-01/2024-01-07,high,Central Exchange
MR212884,2024-01-03 01:00:00,2024-03-07 17:34:15,blocked lane,1.0,37.71769,-122.424,River Rd,web,799.37,D03,64.0,False,2024-01,2024-01-01/2024-01-07,low,Civic East
MR204866,2024-01-03 02:06:00,,pothole near crossing,4.0,37.812,-122.434,Pine Ave,app,296.01,D11,805.0,True,2024-01,2024-01-01/2024-01-07,high,Medical Quarter
MR204530,2024-01-03 03:37:00,,pothole near crossing,3.0,37.79032443517848,-122.480879855445,Maple Dr,phone,343.23,D06,805.0,True,2024-01,2024-01-01/2024-01-07,medium,Central Exchange
MR203262,2024-01-03 04:49:48,2024-01-05 02:08:37,sidewalk obstruction,3.0,37.75552343494085,-122.398249873551,Pine Ave,phone,364.46,D07,1.0,False,2024-01,2024-01-01/2024-01-07,medium,Riverside
MR219755,2024-01-03 05:16:55,,bus stop damage,2.0,37.69233576035875,-122.513974225092,Maple Dr,app,606.17,D11,805.0,True,2024-01,2024-01-01/2024-01-07,low,Harbor North
MR203264,2024-01-03 05:52:38,,broken traffic light,4.0,37.80301675461279,-122.490130033462,Elm St,phone,2516.7,D12,805.0,True,2024-01,2024-01-01/2024-01-07,high,North Commons
MR207976,2024-01-03 06:48:46,,pothole near crossing,3.0,37.71701293787738,-122.423638040008,River Rd,web,545.15,D03,805.0,True,2024-01,2024-01-01/2024-01-07,medium,Civic East
MR219968,2024-01-03 07:04:04,2024-01-08 03:33:06,pothole near crossing,2.0,37.76067395015288,-122.385483913514,Transit Way,app,,,4.0,False,2024-01,2024-01-01/2024-01-07,low,Riverside
MR205948,2024-01-03 07:47:23,,missing sign,4.0,37.70862316092594,-122.503611487982,Cedar Rd,web,240.12,D01,805.0,True,2024-01,2024-01-01/2024-01-07,high,Old Market
MR213490,2024-01-03 08:37:15,,broken traffic light,5.0,37.74944892451592,-122.479741145592,Pine Ave,web,2546.99,D06,805.0,True,2024-01,2024-01-01/2024-01-07,high,Central Exchange
MR213697,2024-01-03 08:53:45,2024-01-08 00:00:00,missing sign,3.0,37.79116854010392,-122.43650110514,Maple Dr,,,D05,4.0,False,2024-01,2024-01-01/2024-01-07,medium,Medical Quarter
MR218836,2024-01-03 12:34:24,,bus stop damage,3.0,37.69698435596864,-122.365741188628,Elm St,app,886.91,D04,804.0,True,2024-01,2024-01-01/2024-01-07,medium,Bayview
MR214829,2024-01-03 14:42:28,2024-01-31 02:07:48,blocked lane,3.0,37.80890713687761,-122.401376101832,Union Blvd,email,790.96,D11,27.0,False,2024-01,2024-01-01/2024-01-07,medium,Airport Link
MR211862,2024-01-03 14:48:46,,pothole near crossing,4.0,37.807,-122.371,Market St,app,415.74,D12,804.0,True,2024-01,2024-01-01/2024-01-07,high,Airport Link
MR206224,2024-01-03 15:35:15,,blocked lane,4.0,37.821416179618446,-122.542186696217,Union Blvd,app,1002.77,D09,804.0,True,2024-01,2024-01-01/2024-01-07,high,West Junction
MR219945,2024-01-03 16:58:32,2024-01-07 22:32:56,unsafe crossing,3.0,37.77549,-122.5016,Elm St,phone,,D06,4.0,False,2024-01,2024-01-01/2024-01-07,medium,University
MR217409,2024-01-03 17:52:22,2024-08-01 17:28:00,sidewalk obstruction,4.0,37.76102972687198,-122.428671835442,Hillcrest Ave,web,,D07,210.0,False,2024-01,2024-01-01/2024-01-07,high,Midtown
MR205791,2024-01-03 18:12:39,2024-01-13 10:25:15,blocked lane,1.0,37.793862118289184,-122.428566074016,Hillcrest Ave,phone,1349.14,D11,9.0,False,2024-01,2024-01-01/2024-01-07,low,Medical Quarter
MR202072,2024-01-03 18:32:00,2024-01-10 16:28:30,missing sign,2.0,37.705574921975305,-122.545386234358,Union Blvd,phone,165.21,D06,6.0,False,2024-01,2024-01-01/2024-01-07,low,Harbor North
MR217361,2024-01-03 18:47:00,,missing sign,2.0,37.78467340280154,-122.477610942863,Transit Way,web,392.18,D06,804.0,True,2024-01,2024-01-01/2024-01-07,low,Central Exchange
MR207196,2024-01-03 19:26:45,,blocked lane,4.0,37.816165393233646,-122.382997516995,Harbor Ave,web,1323.57,D12,804.0,True,2024-01,2024-01-01/2024-01-07,high,Airport Link
MR214228,2024-01-03 19:54:00,2024-01-06 19:39:58,unsafe crossing,1.0,37.71369568708838,-122.348964442743,Pine Ave,phone,805.53,D04,2.0,False,2024-01,2024-01-01/2024-01-07,low,Bayview
